canonical_accession,tier,sequence_sha256,n_aliases,alias_accessions
Q9WX47,1,8f1be672f100cfd63ea0fc7f2919b2038d07db49996895ceea945d381dd09ae8,1,00013|PU_esterase_|Comamonas_acidovorans|PU|BAA76305
R4YKL9,1,b600d7caa5dd8efeb2a59beeb8a38e48b4c86f0fe27061b61b20f16374a68c95,3,00097|PETase|Oleispira_antarctica|PCL_PET|CCK74972;00213|Lipase|Moraxella_sp.|PET|P19833;Oleispira
Rhizobacter,2,34f5cc2eb3c319f02badff2eeec1855e6704f0ac61fa4cd3d22ce92429e13b34,0,
S6BC01,1,37fdc758a4fcc01c781086709cc210573181b07a9758e1cb4ba6e7ab22ba528e,2,00103|Esterase|Pseudozyma_antarctica|PBS_PBSA_PCL|BBB03504;Pseudozyma
Streptomyces,2,7d9ad73c3b31fee6e942636946b7c3e1c21c63d4176ff1e348f0968d06110111,0,
Uncultured,2,bef7e23c37b5c9d7404cf3749c44ed2bd7fe135bd66cbf3b517d0f86a214055a,0,
V2XFA5,1,c058a248136680aebf560319cfae6ee73982dceab4fbf65bdd97dc35339c96c9,2,00113|Cutinase|Moniliophthora_roreri|PES_PCL_PET|KTB31184;Moniliophthora
W0M2H4,1,7364c548f354a5c07448f219a4b108ff93bc830d7b99bcc8c7b7d37906c01c32,1,00158|Esterase|Uncultured_bacterium|PLA|AHG30919
W0TJ64,1,5ee40d6243c461ea3a39d521905e8ab8bdfce78c70e46909da973ec5007fca24,3,00074|Cutinase|Saccharomonospora_viridis|PBAT_PBS_PBSA_PCL_PET_PHB_PLA_PHA|BAO42836;00076|Cutinase|Saccharomonospora_viridis|PBAT_PBS_PBSA_PCL_PET_PHB_PLA_PHA|NA;Saccharomonospora
W6R2Y2,1,6e7999c1cb49af0bf431e88fc6ce9ecab2a91ebc2d5fd717251e9ac4d7cd73c1,0,
W7IW76,1,55f150950c3e21aae6805b68bb3d7e7dfea02ebb60007a7fa706a44bcacadb91,1,00240|PETase|Actinokineospora_spheciospongiae|PET|WP_035284691
W7J542,1,74b2480179a3cf94e1176e9f3492f386caafc470be263ca4f9b32ec2fee44be3,1,00245|PETase|Actinokineospora_spheciospongiae|PET|WP_233427406
X0BTD8,1,b97b30c1735f1541652f3058f7ae70bda16ae7fd36a97679e9788448eb3880da,0,
